cited_articletitle,cited_year,cited_journal,citing_articletitle,citing_year,citing_journal
"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study",2020,The Lancet,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Therapeutic drugs targeting 2019-nCoV main protease by high-throughput screening,2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Potential antiviral therapeutics for 2019 novel coronavirus,,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Strategies for the development of drugs targeting novel coronavirus 2019-nCoV,2020,Acta Pharmaceutica Sinica,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Activation and maturation of SARS-CoV main protease,2011,Protein Cell,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Broad-spectrum antiviral GS-5734 inhibits both epidemic and zoonotic coronaviruses,2017,Science translational medicine,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
Clinical analysis of 31 cases of 2019 novel coronavirus infection in children from six provinces (autonomous region) of northern China,,,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Detection of 2019 novel coronavirus (2019-nCoV) by real-time RT-PCR,2020,Euro Surveill,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
A well infant with coronavirus disease 2019 (COVID-19) with high viral load,2020,Clin. Infect. Dis,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records,2020,Lancet,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
A case of 2019 Novel Coronavirus in a pregnant woman with preterm delivery,2020,Clin. Infect. Dis,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Coronavirus disease 2019 (COVID-19) during pregnancy: a case series,2020,,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Clinical analysis of 10 neonates born to mothers with 2019-nCoV pneumonia,2020,Transl. Pediatr,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Wuhan Tongji Hospital diagnoses first case of neonatal infection with new coronavirus,2020,,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Neonatal coronavirus expert confirmed at 30 hours of birth: vertical transmission from mother to infant,2020,,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Division of Viral Diseases,2019,"Centers for Disease Control and Prevention, National Center for Immunization and Respiratory Diseases (NCIRD)",COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Bulletin supplé mentaire mars 2020 -Mise au point sur le COVID-19 en pé diatrie,,,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
A pneumonia outbreak associated with a new coronavirus of probable bat origin,2020,Nature,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Drug repurposing programmes get lift off,2012,Nat. Rev. Drug Discov,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Chloroquine for the 2019 novel coronavirus SARS-CoV-2,,Int. J. Antimicrob. Agents,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
New insights into the antiviral effects of chloroquine,2006,Lancet Infect. Dis,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Chloroquine inhibits autophagic flux by decreasing autophagosome-lysosome fusion,2018,Autophagy,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Chloroquine is a potent inhibitor of SARS coronavirus infection and spread,,Virol. J,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Angiotensinconverting enzyme 2 is a functional receptor for the SARS coronavirus,2003,Nature,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Structural basis for the recognition of the SARS-CoV-2 by full-length human ACE2,2020,Science,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Sialic acid receptors of viruses,2015,Top Curr Chem,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Hybrid in silico/in vitro approaches for the identification of functional cholesterol-binding domains in membrane proteins,2017,Methods Mol. Biol,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Chloroquine and hydroxychloroquine as available weapons to fight COVID-19,2020,Int. J. Antimicrob. Agents,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Fear of COVID 2019: First suicidal case in India!,2020,Asian J. Psychiatr,The emotional impact of COVID-19: From medical staff to common people,2020,"Brain, Behavior, and Immunity"
Gangliosides interact with synaptotagmin to form the high-affinity receptor complex for botulinum neurotoxin B,2019,Proc. Natl. Acad. Sci,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
The glycosphingolipid MacCer promotes synaptic bouton formation in drosophila by interacting with Wnt,2018,Elife,Structural and molecular modelling studies reveal a new mechanism of action of chloroquine and hydroxychloroquine against SARS-CoV-2 infection,2020,International Journal of Antimicrobial Agents
Communicable diseases in complex emergencies: impact and challenges,2004,Lancet,"Complex emergencies of COVID-19: management and experience in Zhuhai, China",2020,International Journal of Antimicrobial Agents
Multiple sclerosis,2018,N Eng J Med,Viral infections and multiple sclerosis,2020,Drug Discovery Today: Disease Models
Breakthrough: Chloroquine phosphate has shown apparent efficacy in treatment of COVID-19 associated pneumonia in clinical studies,2020,Biosci Trends,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Coronavirus disease (COVID-19) and neonate: What neonatologist need to know,2020,J. Med. Virol,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,2020,Int. J. Antimicrob. Agents,COVID-19 virus and children: What do we know?,2020,Archives de Pédiatrie
New treatments for Ebola virus disease,2019,BMJ,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
"Comparative therapeutic efficacy of remdesivir and combination lopinavir, ritonavir, and interferon beta against MERS-CoV",2020,Nature Communications,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
"Functional assessment of cell entry and receptor usage for lineage B β-coronaviruses, including 2019-nCoV",2020,,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
What to do next to control the 2019-nCoV epidemic?,2020,Lancet,"Recent progress in understanding 2019 novel coronavirus (SARS-CoV-2) associated with human respiratory disease: detection, mechanisms and treatment",2020,International Journal of Antimicrobial Agents
